fraction,h,width,height,area,total_edge_length,centroid_x,centroid_y,centroid_displacement,unrelated_edge_crossings,coincident_vertex_pairs,vertices_on_unrelated_edges,cyclic_order_violations,cyclic_order_orientation,abstract_graph_valid
0.0,0.0,3136.0,1092.0,3424512.0,24359.649504,1403.705882,570.470588,0.0,0,0,0,0,reflection,True
0.1,182.380909,3141.312072,1092.57263,3432111.592156,24382.854524,1408.244469,568.879511,4.809397,0,0,0,0,reflection,True
0.2,364.761818,3157.50076,1094.359305,3455440.337251,24453.664161,1421.910833,564.087938,19.291409,0,0,0,0,reflection,True
0.3,547.142727,3185.365835,1097.579645,3496192.702374,24575.826812,1444.861207,556.039266,43.612198,0,0,0,0,reflection,True
0.4,729.523637,3226.398482,1102.649372,3557586.259999,24756.195075,1477.372,544.633398,78.065724,0,0,0,0,reflection,True
0.5,911.904546,3283.091663,1110.27865,3645146.579422,25005.869002,1519.86914,529.716262,123.104905,0,0,0,0,reflection,True
0.6,1094.285455,3359.588499,1121.679553,3768381.725822,25342.459543,1572.983767,511.060007,179.400723,0,0,0,0,reflection,True
0.7,1276.666364,3463.159212,1139.043498,3944688.982967,25794.884681,1637.664228,488.323501,247.960988,0,0,0,0,reflection,True
0.8,1459.047273,3608.236277,1166.856983,4210295.696131,26415.300759,1715.437333,460.961104,330.407059,0,0,0,0,reflection,True
0.9,1641.428182,3832.120565,1228.358024,4707216.044953,27320.214936,1809.23174,427.938966,429.844722,0,0,0,0,reflection,True
0.95,1732.618637,4013.098686,1282.876037,5148308.138386,27983.668348,1864.33353,408.544202,488.26016,0,0,0,0,reflection,True
0.98,1787.33291,4188.378317,1337.368752,5601406.28271,28551.354523,1901.793534,395.384049,527.964587,0,0,0,0,reflection,True
