height,fraction_of_geometric_limit,width,drawing_height,area,total_connection_length,global_minimum_incident_angular_gap,mean_per_vertex_minimum_angular_gap,mean_angular_error,different_net_crossings,component_overlaps,clearance_violations,unrelated_component_body_intersections,electrical_incidence_exact,cyclic_order_orientation,valid
0.0,0.0,3166.0,1112.0,3520592.0,23095.744883,1.048222,68.020928,198.905164,0,0,0,0,True,global_reflection,True
10.69371,0.1,3165.935262,1111.922342,3520274.151143,23095.444236,1.048298,68.016431,198.919893,0,0,3,2,True,global_reflection,False
21.38742,0.2,3165.741041,1111.689314,3519320.486171,23094.586123,1.048525,68.002718,198.964842,0,0,3,3,True,global_reflection,False
32.08113,0.3,3165.417311,1111.300754,3517730.644439,23093.309362,1.048903,67.979099,199.042386,0,0,3,3,True,global_reflection,False
42.77484,0.4,3164.964031,1110.756391,3515504.024718,23091.87306,1.049432,67.944315,199.15678,0,0,3,3,True,global_reflection,False
53.46855,0.5,3164.381143,1110.055843,3512639.777266,23090.711078,1.050113,67.896336,199.314727,0,0,3,3,True,global_reflection,False
64.16226,0.6,3163.668572,1109.198619,3509136.811036,23091.099953,1.050946,67.831941,199.52651,0,0,3,3,True,global_reflection,False
74.85597,0.7,3162.826227,1108.184113,3504993.776941,23096.576997,1.051931,67.745764,199.828067,0,0,3,3,True,global_reflection,False
85.54968,0.8,3161.853997,1107.011604,3500209.064833,23107.589754,1.05307,67.598124,200.265327,0,0,3,3,True,global_reflection,False
96.24339,0.9,3160.751761,1105.680251,3494780.800451,23131.205434,1.054362,67.378123,200.913828,0,0,3,3,True,global_reflection,False
101.590245,0.95,3160.151846,1104.954713,3491824.676033,23155.248805,0.733169,67.208177,201.420407,0,0,3,3,True,global_reflection,False
104.798358,0.98,3159.776271,1104.500159,3489973.393724,23182.073964,0.134316,67.04428,201.85965,4,0,3,3,True,inconsistent_local_reversal,False
