s,width,height,area,total_edge_length,nearest_node_distance_to_pole,width_ratio,height_ratio,area_ratio,edge_length_ratio,unrelated_edge_crossings,coincident_vertex_pairs,vertices_on_unrelated_edges,cyclic_order_violations,abstract_graph_valid,similarity_identities_verified
1.0,3136.0,1092.0,3424512.0,24359.649504,709.304589,1.0,1.0,1.0,1.0,0,0,0,0,True,True
0.9,2822.4,982.8,2773854.72,21923.684553,638.37413,0.9,0.9,0.81,0.9,0,0,0,0,True,True
0.8,2508.8,873.6,2191687.68,19487.719603,567.443671,0.8,0.8,0.64,0.8,0,0,0,0,True,True
0.7,2195.2,764.4,1678010.88,17051.754653,496.513212,0.7,0.7,0.49,0.7,0,0,0,0,True,True
0.6,1881.6,655.2,1232824.32,14615.789702,425.582753,0.6,0.6,0.36,0.6,0,0,0,0,True,True
0.5,1568.0,546.0,856128.0,12179.824752,354.652295,0.5,0.5,0.25,0.5,0,0,0,0,True,True
0.4,1254.4,436.8,547921.92,9743.859802,283.721836,0.4,0.4,0.16,0.4,0,0,0,0,True,True
0.3,940.8,327.6,308206.08,7307.894851,212.791377,0.3,0.3,0.09,0.3,0,0,0,0,True,True
0.2,627.2,218.4,136980.48,4871.929901,141.860918,0.2,0.2,0.04,0.2,0,0,0,0,True,True
0.1,313.6,109.2,34245.12,2435.96495,70.930459,0.1,0.1,0.01,0.1,0,0,0,0,True,True
0.00141,4.421232,1.539536,6.806646,34.343003,1.0,0.00141,0.00141,2e-06,0.00141,0,0,0,0,True,True
