pole_a,pole_b,pole_distance,theoretical_upper_height,greatest_valid_equal_height,limiting_height,limiting_vertex,limiting_condition,bisection_iterations,width,height,area,total_edge_length,maximum_pairwise_vertex_distance,minimum_nonzero_pairwise_vertex_distance,unrelated_edge_crossings,coincident_vertex_pairs,vertices_on_unrelated_edges,cyclic_order_violations,cyclic_order_orientation,abstract_graph_valid,width_ratio,height_ratio,area_ratio,edge_length_ratio,maximum_diameter_ratio
component:C1,component:C2,2112.767143,10.854012,10.854011,10.854012,net:+9V,two-circle geometric degeneracy,18,3136.132634,1091.714316,3423760.894283,24355.752746,3136.133145,50.854601,0,0,0,0,reflection,True,1.000042,0.999738,0.999781,0.99984,1.000042
component:C1,component:JP1,1471.20087,77.936332,77.936331,77.936332,component:TPA,two-circle geometric degeneracy,21,3120.085549,1099.97752,3432023.963137,24326.228761,3120.157377,52.08072,0,0,0,0,reflection,True,0.994925,1.007305,1.002194,0.998628,0.994948
component:C1,component:J_EA,2220.275884,17.214077,17.214076,17.214077,component:RMIN1,two-circle geometric degeneracy,19,3137.969973,1091.455776,3424955.451001,24345.198678,3138.014447,49.068071,0,0,0,0,reflection,True,1.000628,0.999502,1.000129,0.999407,1.000642
component:C1,component:J_EB,2226.964077,10.297427,10.297426,10.297427,component:RMIN1,two-circle geometric degeneracy,18,3137.425523,1091.823958,3425516.352183,24354.680534,3137.441698,50.970217,0,0,0,0,reflection,True,1.000455,0.999839,1.000293,0.999796,1.00046
component:C1,component:J_OUT,2229.22251,33.146983,33.146982,33.146983,net:EOUT,two-circle geometric degeneracy,19,3131.330681,1104.17947,3457551.05253,24334.419436,3131.359843,52.073818,0,0,0,0,reflection,True,0.998511,1.011153,1.009648,0.998964,0.99852
component:C1,component:J_PWR,1911.707352,43.98372,43.983719,43.98372,component:RMIN1,two-circle geometric degeneracy,20,3136.986372,1083.334821,3398406.568894,24347.705788,3137.195802,52.057635,0,0,0,0,reflection,True,1.000315,0.992065,0.992377,0.99951,1.000381
component:C1,component:J_R1,781.434578,136.948125,136.948124,136.948125,net:R1_W,two-circle geometric degeneracy,22,3093.242421,1128.140967,3489613.496893,24386.275552,3093.341791,40.807002,0,0,0,0,reflection,True,0.986366,1.033096,1.01901,1.001093,0.986397
component:C1,component:J_R4,2109.502311,48.314714,48.314713,48.314714,component:TPO,two-circle geometric degeneracy,20,3126.674867,1112.590985,3478710.268389,24439.191882,3126.762671,19.227286,0,0,0,0,reflection,True,0.997026,1.018856,1.015827,1.003265,0.997054
component:C1,component:J_RA,1391.597643,1.830989,1.830988,1.830989,net:RA_SW,two-circle geometric degeneracy,15,3135.992506,1090.718775,3420485.905707,24357.823602,3135.992506,51.967754,0,0,0,0,reflection,True,0.999998,0.998827,0.998824,0.999925,0.999998
component:C1,component:R2,1245.576172,8.182559,8.182558,8.182559,component:TPB,two-circle geometric degeneracy,17,3135.824349,1092.208377,3424973.622078,24363.360742,3135.824363,52.001618,0,0,0,0,reflection,True,0.999944,1.000191,1.000135,1.000152,0.999944
